TIME_PERIOD,Portfolio,Weight,Portfolio strategy,Historical return,Historical variance
2017-12-31,"{""MOM"",""EU""}",0.21689838866160124,Global Minimum Variance portfolio,0.6665127639786945,0.5985824306929849
2018-01-31,"{""MOM"",""EU""}",0.2308813071360435,Global Minimum Variance portfolio,0.6657434563341524,0.5985272753553071
2018-02-28,"{""MOM"",""EU""}",0.21500036814309315,Global Minimum Variance portfolio,0.6461814394197828,0.5999247856453563
2018-03-31,"{""MOM"",""EU""}",0.2089717472731084,Global Minimum Variance portfolio,0.5563167798779289,0.65049553926201
2018-04-30,"{""MOM"",""EU""}",0.19361332957188745,Global Minimum Variance portfolio,0.5656719594765925,0.6386606530291914
2018-05-31,"{""MOM"",""EU""}",0.20400372912828332,Global Minimum Variance portfolio,0.5531098749479021,0.5885277880963312
2018-06-30,"{""MOM"",""EU""}",0.19910946895302012,Global Minimum Variance portfolio,0.5135494785260659,0.6209966971065329
2018-07-31,"{""MOM"",""EU""}",0.172464404355098,Global Minimum Variance portfolio,0.42733117491507366,0.6149879430844134
2018-08-31,"{""MOM"",""EU""}",0.19995922908834407,Global Minimum Variance portfolio,0.4646947960168349,0.6418420263955241
2018-09-30,"{""MOM"",""EU""}",0.2158737334703107,Global Minimum Variance portfolio,0.45090072851172097,0.6474866256328207
2018-10-31,"{""MOM"",""EU""}",0.20492727665662927,Global Minimum Variance portfolio,0.34997731116666936,0.8468987959844032
2018-11-30,"{""MOM"",""EU""}",0.176026274797397,Global Minimum Variance portfolio,0.27146555184777665,0.9059245794945587
2018-12-31,"{""MOM"",""EU""}",0.19561172489563428,Global Minimum Variance portfolio,0.21936716998707592,0.8255070568679455
2019-01-31,"{""MOM"",""EU""}",0.20946761225366334,Global Minimum Variance portfolio,0.259417174049585,0.7906116637489656
2019-02-28,"{""MOM"",""EU""}",0.19483996832544387,Global Minimum Variance portfolio,0.24083640676094925,0.7989663711142374
2019-03-31,"{""MOM"",""EU""}",0.18899437730645738,Global Minimum Variance portfolio,0.22029519855113572,0.7827745582219598
2019-04-30,"{""MOM"",""EU""}",0.17280271732474783,Global Minimum Variance portfolio,0.22691588310104285,0.7842467220520444
2019-05-31,"{""MOM"",""EU""}",0.15353628116278564,Global Minimum Variance portfolio,0.3060437404710625,0.8936034225824366
2019-06-30,"{""MOM"",""EU""}",0.08936941307384835,Global Minimum Variance portfolio,0.2903291808493041,0.8689390549626622
2019-07-31,"{""MOM"",""EU""}",0.10119978524117217,Global Minimum Variance portfolio,0.25550185018241106,0.8280638855279304
2019-08-31,"{""MOM"",""EU""}",0.09232094295022981,Global Minimum Variance portfolio,0.22634662176825612,0.8156613554669526
2019-09-30,"{""MOM"",""EU""}",0.1242095674167033,Global Minimum Variance portfolio,0.1820443109093113,0.7958330860275096
2019-10-31,"{""MOM"",""EU""}",0.1440225148272273,Global Minimum Variance portfolio,0.21690142042612034,0.7850124437543439
2019-11-30,"{""MOM"",""EU""}",0.12716489234033282,Global Minimum Variance portfolio,0.2154066631757206,0.8538656142230019
2019-12-31,"{""MOM"",""EU""}",0.09140228812616959,Global Minimum Variance portfolio,0.24807075515453902,0.9209654941599071
2020-01-31,"{""MOM"",""EU""}",0.11314620507813784,Global Minimum Variance portfolio,0.23422827427975398,0.89946628524889
2020-02-29,"{""MOM"",""EU""}",0.13177369151568707,Global Minimum Variance portfolio,0.15085059268625994,1.0021182933427368
