TIME_PERIOD,Portfolio,Region,Return_EUR,Return_RF_EU
2021-10-31,Tech Stocks,US,7.298401889222816,-0.052578017913108566
2021-10-31,BIG HiPRIOR,EU,4.822514383855719,-0.052578017913108566
2021-10-31,BIG LoPRIOR,EU,2.7741897810218745,-0.052578017913108566
2021-10-31,ME1 PRIOR2,EU,1.9588372692142428,-0.052578017913108566
2021-10-31,ME2 PRIOR2,EU,4.086708458565894,-0.052578017913108566
2021-10-31,SMALL HiPRIOR,EU,3.3608458565907995,-0.052578017913108566
2021-10-31,SMALL LoPRIOR,EU,-0.019884070416509303,-0.052578017913108566
2021-10-31,BIG HiPRIOR,US,7.298401889222816,-0.052578017913108566
2021-10-31,BIG LoPRIOR,US,3.6193722627736946,-0.052578017913108566
2021-10-31,ME1 PRIOR2,US,2.714529841133512,-0.052578017913108566
2021-10-31,ME2 PRIOR2,US,7.725964791756098,-0.052578017913108566
2021-10-31,SMALL HiPRIOR,US,3.9077286389007924,-0.052578017913108566
2021-10-31,SMALL LoPRIOR,US,0.9843915843709539,-0.052578017913108566
2021-11-30,RF,US,2.481738977382747,-0.06776859181794292
2021-11-30,RF,EU,-0.06776859181794292,-0.06776859181794292
2021-11-30,Tech Stocks,EU,-3.1650048402710382,-0.06776859181794292
2021-11-30,Small Cap,EU,-2.974338100265089,-0.06776859181794292
2021-11-30,Small Cap,US,-1.7651765249489177,-0.06776859181794292
2021-11-30,Tech Stocks,US,-1.166610930212073,-0.06776859181794292
2021-11-30,Market_Return,US,1.0086604128882257,-0.06776859181794292
2021-11-30,Market_Return,EU,-1.8629882420463697,-0.06776859181794292
2021-11-30,BIG HiPRIOR,EU,-3.1650048402710382,-0.06776859181794292
2021-11-30,BIG LoPRIOR,EU,-1.7712531901786406,-0.06776859181794292
2021-11-30,ME1 PRIOR2,EU,-2.806318753850192,-0.06776859181794292
2021-11-30,ME2 PRIOR2,EU,-0.7976766698935052,-0.06776859181794292
2021-11-30,SMALL HiPRIOR,EU,-2.8678077972366225,-0.06776859181794292
2021-11-30,SMALL LoPRIOR,EU,-3.318727448737107,-0.06776859181794292
2021-11-30,BIG HiPRIOR,US,-1.166610930212073,-0.06776859181794292
2021-11-30,BIG LoPRIOR,US,-0.4902314529613534,-0.06776859181794292
2021-11-30,ME1 PRIOR2,US,-0.23402710551789596,-0.06776859181794292
2021-11-30,ME2 PRIOR2,US,2.7276951509284686,-0.06776859181794292
2021-11-30,SMALL HiPRIOR,US,-1.3100853647804058,-0.06776859181794292
2021-11-30,SMALL LoPRIOR,US,-3.9541142303968826,-0.06776859181794292
2021-12-31,RF,EU,-0.057375869024898996,-0.057375869024898996
2021-12-31,RF,US,0.3367146388840041,-0.057375869024898996
2021-12-31,Small Cap,EU,4.767503912922647,-0.057375869024898996
2021-12-31,Tech Stocks,EU,3.617397139325462,-0.057375869024898996
2021-12-31,Market_Return,US,3.848838362100659,-0.057375869024898996
2021-12-31,Small Cap,US,3.2139705536543772,-0.057375869024898996
2021-12-31,Tech Stocks,US,0.31664930248985,-0.057375869024898996
2021-12-31,Market_Return,EU,5.543679125988159,-0.057375869024898996
2021-12-31,BIG HiPRIOR,EU,3.617397139325462,-0.057375869024898996
2021-12-31,BIG LoPRIOR,EU,5.222624050856439,-0.057375869024898996
2021-12-31,ME1 PRIOR2,EU,4.841382659367838,-0.057375869024898996
2021-12-31,ME2 PRIOR2,EU,7.1288310082995,-0.057375869024898996
2021-12-31,SMALL HiPRIOR,EU,5.493506092177313,-0.057375869024898996
2021-12-31,SMALL LoPRIOR,EU,3.818050503266832,-0.057375869024898996
2021-12-31,BIG HiPRIOR,US,0.31664930248985,-0.057375869024898996
2021-12-31,BIG LoPRIOR,US,4.971807345929733,-0.057375869024898996
2021-12-31,ME1 PRIOR2,US,4.821317322973698,-0.057375869024898996
2021-12-31,ME2 PRIOR2,US,5.633963446936278,-0.057375869024898996
2021-12-31,SMALL HiPRIOR,US,2.2429215963270366,-0.057375869024898996
2021-12-31,SMALL LoPRIOR,US,2.3934116192830857,-0.057375869024898996
2022-01-31,RF,EU,-0.04779118589428355,-0.04779118589428355
2022-01-31,RF,US,1.5238436715668797,-0.04779118589428355
2022-01-31,Market_Return,US,-4.419448868915943,-0.04779118589428355
2022-01-31,Small Cap,US,-7.220861875434709,-0.04779118589428355
2022-01-31,Tech Stocks,EU,-7.461016493366785,-0.04779118589428355
2022-01-31,Market_Return,EU,-3.855155368779466,-0.04779118589428355
2022-01-31,Small Cap,EU,-5.129847514096529,-0.04779118589428355
2022-01-31,Tech Stocks,US,-6.090444603800634,-0.04779118589428355
2022-01-31,BIG HiPRIOR,EU,-7.461016493366785,-0.04779118589428355
2022-01-31,BIG LoPRIOR,EU,-0.526937970598766,-0.04779118589428355
2022-01-31,ME1 PRIOR2,EU,-3.5828056651129288,-0.04779118589428355
2022-01-31,ME2 PRIOR2,EU,-2.50665292219432,-0.04779118589428355
2022-01-31,SMALL HiPRIOR,EU,-7.501626030835411,-0.04779118589428355
2022-01-31,SMALL LoPRIOR,EU,-4.100577267837934,-0.04779118589428355
2022-01-31,BIG HiPRIOR,US,-6.090444603800634,-0.04779118589428355
2022-01-31,BIG LoPRIOR,US,-0.9939476514879857,-0.04779118589428355
2022-01-31,ME1 PRIOR2,US,-3.8670724273933246,-0.04779118589428355
2022-01-31,ME2 PRIOR2,US,-4.242710648978118,-0.04779118589428355
2022-01-31,SMALL HiPRIOR,US,-8.84174076730011,-0.04779118589428355
2022-01-31,SMALL LoPRIOR,US,-9.034636070276079,-0.04779118589428355
2022-02-28,RF,US,-0.3839628538262332,-0.04237707652250411
2022-02-28,RF,EU,-0.04237707652250411,-0.04237707652250411
2022-02-28,Market_Return,EU,-4.092559534882243,-0.04237707652250411
2022-02-28,Small Cap,US,0.3373548171901092,-0.04237707652250411
2022-02-28,Small Cap,EU,-4.064317587925114,-0.04237707652250411
2022-02-28,Tech Stocks,US,-1.768625770158053,-0.04237707652250411
2022-02-28,Tech Stocks,EU,-5.125686221984111,-0.04237707652250411
2022-02-28,Market_Return,US,-2.6709238246432645,-0.04237707652250411
2022-02-28,BIG HiPRIOR,EU,-5.125686221984111,-0.04237707652250411
2022-02-28,BIG LoPRIOR,EU,-3.8107545316546094,-0.04237707652250411
2022-02-28,ME1 PRIOR2,EU,-3.6414072685061143,-0.04237707652250411
2022-02-28,ME2 PRIOR2,EU,-3.372443968211442,-0.04237707652250411
2022-02-28,SMALL HiPRIOR,EU,-3.5617144387891813,-0.04237707652250411
2022-02-28,SMALL LoPRIOR,EU,-4.846761317974824,-0.04237707652250411
